pdbid,-logKd/Ki,Kd/Ki
4qrc,6.34,IC50=452nM
4z0k,6.34,Ki=0.462uM
5bms,6.34,Ki=455nM
1cbx,6.35,Ki=0.45uM
1gjb,6.35,Ki=0.45uM
1gjc,6.35,Ki=0.45uM
1mik,6.35,IC50=450nM
1o48,6.35,IC50=450nM
1qwf,6.35,Kd=0.45uM
1yrs,6.35,IC50=450nM
2f2c,6.35,IC50=0.45uM
2j7f,6.35,Kd=445nM
2p09,6.35,Kd=450nM
2qpj,6.35,IC50=0.45uM
3ckp,6.35,Ki=0.449uM
3ctt,6.35,Ki=0.45uM
3ed0,6.35,Kd=0.45uM
3eid,6.35,IC50=0.45uM
3fr5,6.35,IC50=0.45uM
3fvh,6.35,Kd=0.447uM
3hik,6.35,Kd=0.445uM
3rt8,6.35,Ki=451nM
4azf,6.35,Kd=450nM
4eo4,6.35,Ki=450nM
4hl5,6.35,IC50=0.45uM
4i0f,6.35,IC50=0.45uM
4i67,6.35,Kd=0.45uM
4lq3,6.35,IC50=0.45uM
4mk5,6.35,IC50=0.45uM
4qvm,6.35,IC50=0.446uM
4qw5,6.35,IC50=0.449uM
4zpe,6.35,IC50=0.45uM
5a2k,6.35,Kd=0.45uM
5ctc,6.35,IC50=0.45uM
1c5q,6.36,Ki=0.44uM
1ela,6.36,Ki=0.44uM
1fta,6.36,IC50=0.44uM
1o2o,6.36,Ki=0.44uM
1o49,6.36,IC50=437nM
2iws,6.36,Kd=0.44uM
2owb,6.36,IC50=0.44uM
2y76,6.36,Ki=440nM
3g90,6.36,Ki=0.44uM
3oku,6.36,Ki=440nM
3t6b,6.36,Kd=0.44uM
3t6j,6.36,Kd=0.44uM
3uwo,6.36,IC50=0.44uM
3v2p,6.36,Kd=0.44uM
3wsy,6.36,Kd=441nM
4anv,6.36,IC50=441nM
4iti,6.36,IC50=439.5nM
4j0y,6.36,IC50=0.435uM
4j4v,6.36,Kd=0.44uM
4mg7,6.36,Kd=0.44uM
4mk7,6.36,IC50=435nM
4o36,6.36,Kd=436nM
4psq,6.36,IC50=0.44uM
6abp,6.36,Kd=0.44uM
1g3f,6.37,Kd=0.43uM
1gx8,6.37,Kd=0.43uM
1hbv,6.37,Ki=430nM
1hms,6.37,Kd=0.43uM
2q9n,6.37,IC50=430nM
2qpq,6.37,Kd=0.43uM
2w9h,6.37,Kd=430nM
2ym5,6.37,IC50=0.43uM
2zdk,6.37,Kd=428nM
3i7g,6.37,IC50=430nM
3mpf,6.37,IC50=0.43uM
3o88,6.37,Ki=430nM
3qlm,6.37,Kd=0.431uM
3ui2,6.37,Kd=0.43uM
4e5h,6.37,IC50=0.43uM
4gw1,6.37,Kd=430nM
4ks3,6.37,Ki=430nM
4mm4,6.37,Kd=431nM
4mpe,6.37,Kd=426nM
4r91,6.37,Kd=430nM
5tln,6.37,Ki=0.43uM
1kdy,6.38,Ki=415nM
1qja,6.38,Kd=416nM
1qjb,6.38,Ki=416nM
1ukh,6.38,Kd=0.42uM
1xm6,6.38,IC50=0.42uM
1xnx,6.38,Ki=416nM
2er0,6.38,Ki=420nM
2hkf,6.38,Kd=0.42uM
2q2c,6.38,Kd=0.42uM
2wcg,6.38,Ki=0.42uM
2ybu,6.38,Ki=0.42uM
3hau,6.38,Kd=0.42uM
3l3a,6.38,IC50=0.42uM
3oqk,6.38,IC50=420nM
4f3h,6.38,Kd=0.42uM
4nzn,6.38,IC50=0.42uM
4tki,6.38,IC50=0.416uM
4u6x,6.38,IC50=414nM
4unn,6.38,IC50=0.42uM
1lol,6.39,Ki=0.41uM
1o79,6.39,IC50=406nM
1ocn,6.39,Ki=412nM
1xog,6.39,IC50=410nM
3ess,6.39,IC50=411nM
3v7d,6.39,Kd=0.41uM
3vyd,6.39,IC50=406nM
4i12,6.39,IC50=0.406uM
4q4p,6.39,Kd=407.4nM
4yoj,6.39,IC50=0.41uM
5akw,6.39,IC50=410nM
10gs,6.4,Ki=0.4uM
1a07,6.4,Kd=0.4uM
1a1b,6.4,Kd=0.4uM
1a1c,6.4,Kd=0.4uM
1c3r,6.4,IC50=0.4uM
1fq4,6.4,Ki=398.0nM
1g7v,6.4,Kd=0.4uM
1i7c,6.4,IC50=0.4uM
1i7z,6.4,Kd=0.4uM
1igb,6.4,Ki=0.4uM
1jrs,6.4,Ki=0.4uM
1nzv,6.4,Kd=0.40uM
1rth,6.4,IC50=0.4uM
1t2v,6.4,Kd=400nM
1upk,6.4,Kd=400nM
1usk,6.4,Kd=0.40uM
1yvm,6.4,Ki=0.4uM
1z2b,6.4,Kd=0.4uM
2a4l,6.4,IC50=0.4uM
2ai7,6.4,IC50=0.4uM
2c1b,6.4,IC50=0.40uM
2cmo,6.4,Ki=394nM
2g9q,6.4,Ki=0.4uM
2jbk,6.4,Ki=0.4uM
2nno,6.4,Kd=0.4uM
2o2u,6.4,Ki=0.4uM
2qqs,6.4,Kd=0.40uM
2waj,6.4,IC50=0.398uM
2y8c,6.4,Ki=0.4uM
2zaz,6.4,Ki=0.4uM
2zdl,6.4,Kd=402nM
3dz4,6.4,IC50=400nM
3jq9,6.4,Ki=0.4uM
3k1j,6.4,Kd=0.4uM
3kmc,6.4,Ki=400nM
3ll8,6.4,Kd=0.4uM
3lw0,6.4,IC50=0.4uM
3o3j,6.4,Ki=400nM
3pn3,6.4,Ki=400nM
3rsb,6.4,Kd=0.4uM
3s72,6.4,Kd=400nM
3sfi,6.4,IC50=0.4uM
3szm,6.4,Kd=0.4uM
3tf6,6.4,Kd=0.40uM
3zll,6.4,Kd=0.395uM
3zs1,6.4,IC50=0.4uM
4afj,6.4,IC50=398nM
4c7t,6.4,IC50=0.4uM
4cff,6.4,Kd=0.40uM
4cga,6.4,Kd=0.4uM
4dpf,6.4,IC50=400nM
4e26,6.4,IC50=0.4uM
4eu0,6.4,Kd=0.4uM
4ff8,6.4,IC50=0.40uM
4hcv,6.4,IC50=0.40uM
4je7,6.4,Kd=395nM
4jj7,6.4,IC50=0.4uM
4m3b,6.4,IC50=0.40uM
4mbc,6.4,IC50=400nM
4mss,6.4,Ki=0.4uM
4o3u,6.4,Kd=0.4uM
4p00,6.4,Kd=0.4uM
4p02,6.4,Kd=0.4uM
4pax,6.4,IC50=0.4uM
4pmp,6.4,Kd~400nM
4qnu,6.4,Kd=0.40uM
4qtc,6.4,IC50=398nM
4r1y,6.4,IC50=400nM
4rse,6.4,IC50=396nM
4u79,6.4,IC50=0.40uM
4whl,6.4,IC50=0.40uM
4x1r,6.4,Kd=0.4uM
4xbd,6.4,IC50=0.4uM
4xy8,6.4,Kd=397nM
4yv9,6.4,IC50=0.4uM
4zxy,6.4,Ki=400nM
5c5h,6.4,Kd=394nM
5e0l,6.4,Kd=0.4uM
1i80,6.41,Kd=0.39uM
1pye,6.41,Ki=386nM
1syh,6.41,Ki=393nM
1xor,6.41,IC50=0.39uM
2cgf,6.41,Kd=0.39uM
2oj9,6.41,IC50=0.39uM
2qki,6.41,Kd=0.39uM
2qnp,6.41,Ki=0.39uM
2wmw,6.41,IC50=0.39uM
2xxn,6.41,Kd=0.39uM
2xxw,6.41,Ki=390nM
2xxx,6.41,Ki=390nM
2zdm,6.41,Kd=386nM
3k5x,6.41,Ki=390nM
3mxy,6.41,Kd=384.8nM
3r17,6.41,Ki=390nM
4b5b,6.41,IC50=0.387uM
4j0r,6.41,IC50=0.386uM
4jq7,6.41,IC50=393nM
4o1b,6.41,IC50=0.385uM
4o2f,6.41,IC50=387nM
4zuo,6.41,IC50=0.39uM
5cvd,6.41,Kd=0.39uM
1o5a,6.42,Ki=0.38uM
1r17,6.42,Kd=379nM
1thl,6.42,Ki=0.38uM
1tl1,6.42,IC50=0.38uM
1w0y,6.42,Ki=0.38uM
2fw3,6.42,IC50=0.38uM
2jle,6.42,IC50=384nM
2y36,6.42,Kd=0.38uM
3d2e,6.42,Kd=0.38uM
3is9,6.42,IC50=0.38uM
3rkb,6.42,IC50=0.38uM
4i5p,6.42,IC50=0.377uM
4itj,6.42,IC50=377.2nM
4j0s,6.42,IC50=0.382uM
4m5o,6.42,IC50=0.38uM
4ufh,6.42,Ki=380nM
4wnk,6.42,IC50=0.38uM
4zyc,6.42,IC50=0.38uM
1fh9,6.43,Ki=0.37uM
1n7j,6.43,Ki=0.37uM
1nax,6.43,Ki=0.37uM
1t46,6.43,IC50=0.37uM
2b07,6.43,Ki=0.37uM
2bzz,6.43,Ki=0.37uM
2cia,6.43,Kd=370nM
2fqo,6.43,Ki=0.37uM
2ivu,6.43,Ki=375nM
2q94,6.43,IC50=0.37uM
2xch,6.43,IC50=374nM
3ask,6.43,Kd=0.37uM
3v3l,6.43,Kd=0.37uM
4cik,6.43,IC50=0.37uM
4d3h,6.43,Kd=0.37uM
4deb,6.43,IC50=371nM
4ge1,6.43,Kd=370nM
4m8t,6.43,IC50=0.37uM
4nh9,6.43,Ki=375nM
4q4r,6.43,Kd=369.2nM
4wsk,6.43,IC50=371.6nM
4z2j,6.43,IC50=0.374uM
1j4q,6.44,Kd=0.36uM
1jqe,6.44,Ki=0.36uM
1qti,6.44,IC50=0.36uM
1svh,6.44,IC50=360nM
2jh5,6.44,Ki=367nM
2m0u,6.44,Kd=365nM
2pvm,6.44,Ki=0.36uM
2vqj,6.44,IC50=367nM
2xnp,6.44,IC50=0.36uM
2y59,6.44,Ki=0.36uM
3d7m,6.44,Kd=0.36uM
3ffu,6.44,Kd=0.36uM
3pfp,6.44,Ki=360nM
3s9y,6.44,Ki=0.36uM
3wyj,6.44,IC50=0.36uM
4da5,6.44,Ki=0.36uM
4ea1,6.44,Ki=0.36uM
4fmu,6.44,Kd=360nM
4jfk,6.44,Kd=0.36uM
4jfx,6.44,Kd=360nM
4jg6,6.44,IC50=0.36uM
4l2k,6.44,IC50=360nM
4os6,6.44,Ki=0.36uM
4oya,6.44,IC50=0.36uM
4pde,6.44,Kd~364nM
4q3u,6.44,Kd=0.36uM
4qaa,6.44,Kd=0.36uM
4tjy,6.44,IC50=0.367uM
4wz4,6.44,IC50=0.36uM
5al2,6.44,IC50=360nM
3d32,6.45,Kd=354nM
3qw5,6.45,Ki=358nM
4kwo,6.45,Ki=353nM
1gt3,6.46,Kd=0.35uM
1m2r,6.46,Ki=0.35uM
1q4w,6.46,Ki=0.35uM
1ro6,6.46,Ki=350nM
1w2k,6.46,Ki=0.35uM
1wbn,6.46,IC50=0.35uM
2c6m,6.46,IC50=0.35uM
2ohv,6.46,IC50=0.35uM
2vwu,6.46,IC50=0.35uM
2xd9,6.46,Ki=0.35uM
2xdx,6.46,Kd=0.35uM
2y4m,6.46,Kd=0.345uM
3anr,6.46,IC50=0.35uM
3i6m,6.46,IC50=0.35uM
3kdu,6.46,IC50=347nM
3o8p,6.46,Kd=350nM
3pd8,6.46,Ki=348nM
3tnh,6.46,IC50=0.35uM
3zy2,6.46,Kd=0.35uM
4dgn,6.46,IC50=0.35uM
4hyb,6.46,Kd=0.35uM
4n07,6.46,Kd=0.35uM
4w4y,6.46,IC50=344.8nM
4ymh,6.46,Kd=0.35uM
5ap4,6.46,IC50=350nM
7abp,6.46,Kd=0.35uM
1aqj,6.47,Kd=0.34uM
1bxl,6.47,Kd=0.34uM
1j01,6.47,Ki=0.34uM
1o9k,6.47,Kd=0.34uM
1wbt,6.47,IC50=0.34uM
2o64,6.47,IC50=0.34uM
2xu4,6.47,IC50=0.34uM
3cm2,6.47,Ki=340nM
3gcq,6.47,Kd=342nM
3s78,6.47,Kd=340nM
3tfp,6.47,Ki=0.34uM
3zh8,6.47,Kd=0.341uM
4aft,6.47,Kd=342nM
4fea,6.47,Ki=0.34uM
4ju4,6.47,IC50=0.34uM
4jzb,6.47,Kd=342.5nM
4mhy,6.47,Ki=0.342uM
4psx,6.47,Kd=0.34uM
4rd3,6.47,Kd=0.34uM
4uv8,6.47,IC50=0.335uM
4zhl,6.47,Kd=0.34uM
4zji,6.47,Kd=340nM
5ai1,6.47,Kd=0.34uM
5c11,6.47,Kd=0.34uM
1c50,6.48,IC50=334nM
1f4g,6.48,Ki=330nM
1q9m,6.48,IC50=0.33uM
1rpj,6.48,Kd=0.33uM
2f89,6.48,Ki=331nM
2hz0,6.48,IC50=330nM
2nqg,6.48,IC50=333nM
2oz5,6.48,Ki=0.33uM
2q2n,6.48,Kd=0.33uM
2w6p,6.48,IC50=0.333uM
2w71,6.48,IC50=0.334uM
2wnj,6.48,Kd=330nM
2x24,6.48,IC50=0.33uM
2y5l,6.48,IC50=0.33uM
3cph,6.48,Kd=0.33uM
3g3r,6.48,Kd=0.33uM
3gsm,6.48,Ki=0.33uM
3ieo,6.48,Ki=331nM
3nc9,6.48,IC50=330nM
3ogx,6.48,Kd=0.33uM
3p3u,6.48,IC50=0.3291uM
4e67,6.48,Kd=330nM
4kon,6.48,Kd=0.33uM
4mg8,6.48,Kd=0.33uM
4n7e,6.48,IC50=330nM
4nat,6.48,IC50=330nM
4pvv,6.48,Kd=0.33uM
4q0a,6.48,Kd=0.33uM
4q3t,6.48,Kd=0.33uM
4yoi,6.48,IC50=0.33uM
1dl7,6.49,Kd=0.32uM
1fsw,6.49,Ki=0.32uM
1ru2,6.49,Kd=0.32uM
1s4d,6.49,Ki=0.32uM
1x11,6.49,Kd=0.32uM
2h02,6.49,IC50=0.32uM
2qf6,6.49,Ki=0.32uM
2ygu,6.49,Kd=0.322uM
3ara,6.49,IC50=0.32uM
3bft,6.49,Ki=323nM
3bum,6.49,Kd=0.32uM
3h0j,6.49,IC50=325nM
3mho,6.49,Kd=0.32uM
3mj5,6.49,IC50=0.32uM
3muf,6.49,Kd=0.32uM
3nw3,6.49,Kd=0.32uM
3qar,6.49,IC50=0.32uM
3qel,6.49,Kd=320nM
3s0b,6.49,Kd=0.32uM
3u6a,6.49,IC50=0.324uM
3u8h,6.49,IC50=0.32uM
3wut,6.49,Kd=323nM
4brx,6.49,IC50=0.32uM
4d8s,6.49,IC50=0.32uM
4eoy,6.49,Kd=326nM
4gv8,6.49,Kd=0.32uM
4hw3,6.49,Ki=0.32uM
4mwb,6.49,IC50=324nM
4v11,6.49,Kd=324nM
4yee,6.49,Kd=0.32uM
4z68,6.49,Kd=0.32uM
5ar7,6.49,IC50=320nM
1xa5,6.5,Kd=316nM
2g72,6.5,Ki=315nM
2gj4,6.5,IC50=319nM
3bwj,6.5,Kd=0.319uM
3qcs,6.5,IC50=0.316uM
4ith,6.5,IC50=316.9nM
4mw4,6.5,IC50=316nM
4oc0,6.5,Ki=318nM
4qws,6.5,IC50=0.316uM
1h3c,6.51,IC50=306nM
1vwf,6.51,Kd=310nM
2jdh,6.51,Kd=0.31uM
2jkt,6.51,Kd=0.31uM
2usn,6.51,Ki=0.31uM
2wtc,6.51,IC50=0.31uM
2xjj,6.51,Kd=0.31uM
2y56,6.51,Kd=0.31uM
3gds,6.51,Kd=0.31uM
3hf8,6.51,Ki=0.31uM
3hv4,6.51,IC50=310nM
3k5u,6.51,IC50=309nM
3r93,6.51,Kd=0.31uM
3wmc,6.51,Ki=0.31uM
4bo9,6.51,IC50=0.31uM
4e3o,6.51,Ki=310nM
4fut,6.51,Kd=0.31uM
4hlg,6.51,IC50=0.31uM
4nka,6.51,Kd=311.4nM
4zbi,6.51,Ki=0.31uM
1alw,6.52,Ki=0.3uM
1ct8,6.52,Kd=0.3uM
1g74,6.52,Kd=0.30uM
1gt4,6.52,Kd=0.3uM
1h28,6.52,Kd=0.3uM
1j80,6.52,Kd=0.3uM
1k3q,6.52,Kd=0.3uM
1k9s,6.52,Ki=0.30uM
1m21,6.52,Ki<0.3uM
1mqh,6.52,IC50=0.30uM
1qy1,6.52,Kd=0.3uM
1rsd,6.52,IC50=0.30uM
1w1d,6.52,Ki=0.30uM
1zhy,6.52,Kd=300nM
2f9b,6.52,Ki=0.3uM
2fx8,6.52,Kd=302nM
2gz7,6.52,IC50=0.3uM
2h4g,6.52,Ki=0.3uM
2ima,6.52,Ki=300nM
2jql,6.52,Kd=0.3uM
2nn7,6.52,Kd=0.3uM
2nt7,6.52,Ki=0.30uM
2ntf,6.52,Kd=300nM
2o4h,6.52,Ki=300nM
2off,6.52,IC50=0.3uM
2oxy,6.52,Ki=0.30uM
2pfy,6.52,Kd=0.3uM
2rc8,6.52,IC50=0.3uM
2v3e,6.52,Ki=0.3uM
2vev,6.52,IC50=300nM
2w0p,6.52,Kd=0.3uM
2w73,6.52,Kd=0.3uM
2x2k,6.52,IC50=0.30uM
2zft,6.52,Kd=300nM
3bva,6.52,Kd=0.30uM
3c10,6.52,IC50=0.3uM
3dx3,6.52,Ki=300nM
3g2v,6.52,Kd=0.3uM
3hio,6.52,Ki=300nM
3hjo,6.52,Kd=0.3uM
3hzv,6.52,Kd=0.3uM
3ljj,6.52,Kd=300nM
3o9p,6.52,Kd=0.3uM
3p4q,6.52,Ki=0.3uM
3qkk,6.52,IC50=0.3uM
3rwf,6.52,IC50=305nM
3zm6,6.52,IC50=0.30uM
4aig,6.52,IC50=0.3uM
4bo3,6.52,IC50=0.30uM
4bqx,6.52,IC50=0.3uM
4dko,6.52,Kd=0.3uM
4dkr,6.52,Kd=0.30uM
4ez5,6.52,IC50=0.3uM
4ezo,6.52,Kd=0.3uM
4fiv,6.52,Ki=300nM
4krs,6.52,IC50=0.299uM
4loj,6.52,Kd=0.3uM
4nj3,6.52,Kd=0.30uM
4og5,6.52,IC50=302nM
4pvt,6.52,IC50=0.3uM
4qme,6.52,Ki=302nM
4qps,6.52,IC50=0.30uM
4r0i,6.52,Ki=0.3uM
4rxd,6.52,IC50=300nM
4tzn,6.52,Kd=0.3uM
4tzq,6.52,Kd=0.3uM
4ydq,6.52,Kd~300nM
4zeb,6.52,Kd=0.3uM
5al4,6.52,IC50=300nM
5est,6.52,Ki=0.3uM
2p7g,6.53,Kd=0.297uM
3ama,6.53,Ki=0.297uM
3wtk,6.53,Kd=0.294uM
4mmf,6.53,Kd=295nM
4qvl,6.53,IC50=0.298uM
5alm,6.53,IC50=0.294uM
1d3q,6.54,Kd=0.29uM
1drv,6.54,Kd=0.29uM
1h39,6.54,IC50=289nM
1hvy,6.54,IC50=0.29uM
1o3l,6.54,Ki=0.29uM
1vyz,6.54,IC50=290nM
1zz3,6.54,IC50=0.290uM
2evc,6.54,IC50=0.29uM
2h21,6.54,Kd=0.29uM
2jdk,6.54,Kd=0.29uM
2zfs,6.54,Kd=287nM
2zhd,6.54,Kd=287nM
2zns,6.54,Ki=290nM
3b8z,6.54,IC50=0.29uM
3d0b,6.54,Kd=0.29uM
3exf,6.54,Kd=0.29uM
3fuz,6.54,Ki=290nM
3g4k,6.54,IC50=288nM
3hii,6.54,Ki=290nM
3mxc,6.54,Kd=286.1nM
3piy,6.54,IC50=0.29uM
3pvu,6.54,IC50=290nM
3sl8,6.54,IC50=0.29uM
3sr4,6.54,Ki=0.29uM
4a4v,6.54,Kd=0.287uM
4aqh,6.54,Kd=0.29uM
4btx,6.54,Ki=0.29uM
4ht2,6.54,Kd=290nM
4leq,6.54,Kd=288nM
4p0b,6.54,Kd=0.29uM
4pl3,6.54,IC50=0.29uM
4ps5,6.54,IC50=0.29uM
4pv5,6.54,Ki=0.29uM
4u90,6.54,Kd=288nM
4uac,6.54,Kd=288nM
4uu8,6.54,Kd=0.29uM
4w9k,6.54,Kd=0.291uM
5cfa,6.54,Kd=0.290uM
5cqu,6.54,Kd=290nM
1dhj,6.55,Kd=281nM
1h3a,6.55,IC50=281nM
1hmr,6.55,Kd=0.28uM
1hp5,6.55,Ki=280nM
1n4h,6.55,Ki=0.28uM
1q4k,6.55,Kd=280nM
1umw,6.55,Kd=280nM
1yc4,6.55,Kd=280nM
1yda,6.55,Kd=280nM
2bok,6.55,Ki=0.28uM
2fgh,6.55,Kd=0.28uM
2i3v,6.55,Ki=282nM
2uw6,6.55,IC50=0.28uM
2xxr,6.55,Ki=280nM
3cho,6.55,IC50=280nM
3s0e,6.55,Kd=0.28uM
4clb,6.55,IC50=0.28uM
4frj,6.55,IC50=0.28uM
4iue,6.55,Kd=0.28uM
4k42,6.55,Kd=285nM
4o9s,6.55,IC50=0.28uM
4og3,6.55,Kd=285nM
4qp8,6.55,IC50=0.28uM
4tkf,6.55,IC50=0.285uM
4x2s,6.55,Kd=285nM
2khh,6.56,Kd=276nM
2zq2,6.56,Kd=276nM
4db7,6.56,Kd=0.273uM
4kg1,6.56,Kd=274nM
4lbu,6.56,Kd=276nM
4lnb,6.56,IC50=275nM
1ft4,6.57,IC50=0.27uM
1gzv,6.57,Ki=0.27uM
1sld,6.57,Kd=270nM
1ujk,6.57,Kd=0.27uM
1y2c,6.57,IC50=0.27uM
1zub,6.57,Kd=0.27uM
2c6l,6.57,IC50=0.27uM
2cv3,6.57,IC50=0.27uM
2fqy,6.57,Kd=270nM
2hzl,6.57,Kd=270nM
2lbm,6.57,Kd=0.27uM
2m3z,6.57,Kd=0.27uM
2pwc,6.57,Ki=0.27uM
2r9b,6.57,Ki=271nM
3cgf,6.57,IC50=270nM
3cm7,6.57,IC50=270nM
3il6,6.57,IC50=0.27uM
3lc5,6.57,Ki=0.27uM
3ove,6.57,Kd=0.27uM
3qox,6.57,Ki=0.27uM
3rbm,6.57,Ki=270nM
3sax,6.57,Kd=0.27uM
3tfn,6.57,Ki=0.27uM
3wci,6.57,IC50=0.27uM
4byj,6.57,IC50=0.27uM
4fs4,6.57,Ki=270nM
4ge5,6.57,IC50=0.27uM
4jgv,6.57,Kd=0.27uM
4l0i,6.57,IC50=272nM
4la7,6.57,IC50=267nM
4mzo,6.57,IC50=0.271uM
4nnn,6.57,IC50=270nM
4x68,6.57,IC50=271nM
4zum,6.57,IC50=0.27uM
5aln,6.57,IC50=0.267uM
5er2,6.57,Ki=0.27uM
5lpr,6.57,Ki=270nM
2p7z,6.58,Kd=0.262uM
3pb9,6.58,Ki=0.262uM
3sd5,6.58,IC50=262nM
4cd4,6.58,Ki=263nM
5em5,6.58,Ki=0.262uM
1b58,6.59,Kd=260nM
1c2t,6.59,Ki=260nM
1c3e,6.59,Ki=260nM
1fiv,6.59,Ki=260nM
1hk3,6.59,Kd=0.26uM
1izi,6.59,Ki=0.26uM
1mq1,6.59,Kd=260nM
1n7i,6.59,Ki=0.26uM
1qr3,6.59,IC50=0.26uM
2byh,6.59,IC50=0.258uM
2e91,6.59,Ki=0.26uM
2pvh,6.59,Ki=0.26uM
2pwr,6.59,Ki=0.26uM
2v7d,6.59,Kd=260nM
2xzq,6.59,Kd=0.26uM
3gs6,6.59,Ki=0.26uM
3kah,6.59,IC50=0.26uM
3kdt,6.59,IC50=260nM
3opr,6.59,Ki=0.26uM
3t8v,6.59,Ki=260nM
3tl0,6.59,Kd=0.26uM
3uvn,6.59,Kd=0.26uM
3wcl,6.59,IC50=0.26uM
4bnz,6.59,IC50=0.26uM
4dea,6.59,IC50=256nM
4j51,6.59,IC50=0.259uM
4li0,6.59,Kd=0.26uM
4qnb,6.59,Kd=0.26uM
4rn0,6.59,IC50=255nM
4xas,6.59,Ki=260nM
5akh,6.59,IC50=0.256uM
5ddd,6.59,IC50=260nM
5e0a,6.59,Kd=0.26uM
1ad8,6.6,Ki=0.25uM
1b38,6.6,Kd=0.254uM
1d8e,6.6,IC50=250nM
1g7g,6.6,Ki=0.25uM
1gwr,6.6,Kd=250nM
1jzs,6.6,Ki=0.25uM
1kwr,6.6,IC50=0.25uM
1vot,6.6,Ki=250nM
1zpc,6.6,IC50=0.254uM
2a4z,6.6,IC50=0.250uM
2c5x,6.6,IC50=0.25uM
2c5y,6.6,IC50=0.25uM
2euk,6.6,Kd=0.25uM
2f7p,6.6,Ki=0.249uM
2gg2,6.6,IC50=0.25uM
2gg5,6.6,IC50=0.25uM
2gtk,6.6,IC50=0.251uM
2j4g,6.6,Ki=0.25uM
2jdp,6.6,Kd=0.25uM
2wly,6.6,Ki=0.25uM
2xhx,6.6,Kd=0.25uM
2y77,6.6,Ki=250nM
3cwk,6.6,Kd=250nM
3dgl,6.6,Kd=250nM
3dln,6.6,Ki=249nM
3ejs,6.6,IC50=250nM
3eju,6.6,IC50=250nM
3eyl,6.6,IC50=250nM
3ip6,6.6,Kd=0.25uM
3jzp,6.6,IC50=250nM
3lxe,6.6,Ki=250nM
3mpt,6.6,IC50=251nM
3tu1,6.6,Ki=0.25uM
3v3q,6.6,Kd=0.25uM
4bib,6.6,IC50=0.25uM
4bie,6.6,IC50=0.25uM
4ci1,6.6,Kd=249.2nM
4dkq,6.6,Kd=0.25uM
4efu,6.6,IC50=0.25uM
4f08,6.6,Ki=250nM
4h75,6.6,Kd=0.25uM
4mr5,6.6,Kd=251nM
4mr6,6.6,Kd=251nM
4oc1,6.6,Ki=254nM
4pnk,6.6,IC50=0.25uM
4qk4,6.6,Kd=250nM
4qr4,6.6,IC50=0.25uM
4wpf,6.6,IC50=0.25uM
4x8o,6.6,Kd=250nM
4xii,6.6,Kd=0.25uM
4ybi,6.6,IC50=249nM
4zzd,6.6,Kd=0.25uM
5alk,6.6,IC50=0.252uM
3f7u,6.61,IC50=246nM
3kig,6.61,IC50=245nM
3mo2,6.61,Kd=244nM
3qpo,6.61,IC50=247nM
3rjm,6.61,IC50=246nM
4nnw,6.61,IC50=244nM
4qw3,6.61,IC50=0.243uM
5ai9,6.61,IC50=0.244uM
1afk,6.62,Ki=240nM
1ii5,6.62,Kd=240nM
1jd5,6.62,Kd=0.24uM
1kkq,6.62,IC50=0.24uM
1s3k,6.62,Kd=0.24uM
1soj,6.62,IC50=242nM
1tkz,6.62,IC50=0.24uM
1xnz,6.62,IC50=0.24uM
2cnf,6.62,IC50=240nM
2ews,6.62,Kd=0.24uM
2j7b,6.62,Kd=240nM
2jgs,6.62,Kd=0.24uM
2vwc,6.62,Kd=0.24uM
2vww,6.62,IC50=0.24uM
2w0j,6.62,IC50=240nM
2zb0,6.62,Ki=0.24uM
2zq1,6.62,Kd=239nM
3aav,6.62,Ki=0.24uM
3iu9,6.62,IC50=0.24uM
3ka2,6.62,Kd=0.24uM
3ljo,6.62,Kd=239nM
3m93,6.62,Kd=0.24uM
3opm,6.62,IC50=0.24uM
3ozp,6.62,Ki=0.24uM
3umx,6.62,IC50=0.24uM
4btk,6.62,Kd=0.24uM
4er1,6.62,Ki=0.242uM
4gfo,6.62,Ki=0.24uM
4mpn,6.62,Kd=239nM
4rd0,6.62,Kd=0.24uM
4txc,6.62,Kd=0.24uM
4unq,6.62,IC50=0.24uM
4x8n,6.62,Kd=0.24uM
4y94,6.62,Kd=238nM
8lpr,6.62,Ki=240nM
2exc,6.63,IC50=235nM
2qlq,6.63,IC50=236nM
2x7t,6.63,Ki=232nM
3arb,6.63,Kd=234nM
3f8f,6.63,Kd=236nM
3os3,6.63,IC50=235nM
3wf8,6.63,IC50=232nM
4eyr,6.63,IC50=237nM
4jg1,6.63,Kd=232nM
4l0v,6.63,IC50=233nM
4lyw,6.63,Kd=237nM
4nw7,6.63,IC50=237nM
4pv7,6.63,IC50=232.8nM
4rsc,6.63,IC50=232nM
4xip,6.63,Ki=235nM
4xrq,6.63,Kd=0.232uM
1lcp,6.64,Ki=0.23uM
1sln,6.64,Ki=0.23uM
1tmm,6.64,Kd=0.23uM
2b1g,6.64,Ki=0.23uM
2d3z,6.64,Ki=0.23uM
2gej,6.64,Kd=0.23uM
2h96,6.64,IC50=0.23uM
2jdo,6.64,IC50=0.23uM
2kpl,6.64,Kd=0.23uM
2oi3,6.64,Kd=0.23uM
2srt,6.64,Ki=0.23uM
2wap,6.64,Ki=0.23uM
2wbd,6.64,IC50=0.23uM
2wi6,6.64,IC50=0.23uM
2za0,6.64,Ki=0.23uM
3b26,6.64,Kd=0.23uM
3cf1,6.64,Kd=230nM
3eoc,6.64,IC50=0.23uM
3fee,6.64,Ki=230nM
